Open,High,Low,Close,Adj Close,Volume
65.309998,65.379997,63.84,64.190002,63.79707,25768400
63.970001,65.220001,63.68,65.019997,64.621986,24927700
65.330002,65.519997,64.57,64.75,64.353638,24625500
64.699997,64.739998,63.07,63.630001,63.240498,23997700
63.639999,63.759998,62.41,62.700001,62.316189,19872100
62.790001,63.779999,62.299999,63.700001,63.310066,24364200
63.349998,63.91,62.279999,62.57,62.186985,38257600
59.16,60,57.900002,59.240002,58.877369,77479500
59.099998,59.52,58.459999,58.759998,58.400307,39645900
58.560001,58.630001,57.77,57.970001,57.615143,38167700
57.52,58.16,57.150002,57.619999,57.267284,30387400
57.880001,58.299999,57.470001,58.279999,57.923244,23290600
57.610001,58.43,57.07,57.529999,57.177834,30731800
57.860001,57.880001,56.84,57.259998,56.909489,22281700
56.880001,56.98,55.810001,56.900002,56.551693,35323600
56.959999,57.299999,56.459999,56.849998,56.501999,21001900
56.619999,57.25,56.25,57.189999,57.189999,25529300
57.700001,58.009998,57.240002,57.669998,57.669998,19959000
57.150002,57.23,55.880001,55.970001,55.970001,35046500
55.049999,55.630001,54.299999,55.040001,55.040001,35968100
54.389999,54.650002,53.419998,53.619999,53.619999,30232300
54.040001,54.389999,53.459999,54.009998,54.009998,29192500
54.599998,55.849998,54.259998,55.349998,55.349998,28158300
55.290001,55.889999,54.759998,55.330002,55.330002,20010200
55.950001,56.139999,54.799999,54.84,54.84,18703400
54.07,55.43,53.84,55.360001,55.360001,23769700
55.57,56.240002,55.360001,55.950001,55.950001,23145200
56.419998,56.709999,55.98,56.080002,56.080002,17723100
56.650002,57.389999,56.400002,56.959999,56.959999,19164400
57.560001,57.560001,56.419998,56.869999,56.869999,22309900
57.049999,57.23,56.59,56.919998,56.919998,15173600
57.110001,57.880001,57,57.73,57.73,32387600
57.549999,57.650002,56.939999,57.119999,57.119999,20303900
57.610001,57.82,56.59,56.889999,56.889999,20326400
56.91,57.689999,56.759998,57.48,57.48,18483600
56.98,57.099998,56.09,56.240002,56.240002,21831300
56.549999,57.75,56.540001,57.369999,57.369999,21493800
57.41,57.439999,56.779999,57.09,57.09,17364400
57.450001,57.639999,56.599998,57,57,33254500
57.360001,57.48,56.970001,57,57,13904800
57.150002,58.029999,56.93,57.380001,57.380001,26738100
57.470001,57.939999,56.950001,57.849998,57.849998,18119700
58.02,58.200001,57.23,58.189999,58.189999,21784500
58.209999,58.419998,57.799999,57.990002,57.990002,20806500
58.150002,58.369999,56.77,57.220001,57.220001,21879700
57.049999,57.900002,56.700001,57.18,57.18,21498800
56.68,56.75,55.099998,55.669998,55.669998,55118300
55.75,56.040001,55.369999,55.869999,55.869999,19254600
55.939999,56.279999,55.5,55.869999,55.869999,18682800
55.869999,55.970001,55.23,55.259998,55.259998,20287900
55.490002,56.099998,55.34,56.07,56.07,21209700
56.02,56.41,55.75,55.91,55.91,21101200
56.360001,57.73,56.34,57.48,57.48,22480900
57.549999,57.830002,55.880001,56.75,56.75,26360000
56.34,56.380001,55.389999,56.139999,56.139999,29891600
56.130001,56.639999,55.869999,56.009998,56.009998,24871600
56.549999,56.990002,56.32,56.759998,56.759998,17219400
56.919998,57.009998,55.700001,56.09,56.09,26186600
56.369999,56.450001,55.709999,55.959999,55.959999,14857400
55.310001,55.720001,54.790001,55.389999,55.389999,19162000
55.509998,56.110001,55.310001,55.990002,55.990002,18704000
56.259998,56.759998,56.110001,56.73,56.73,15392800
56.619999,57.299999,56.34,56.869999,56.869999,15716000
57.169998,57.459999,56.330002,56.52,56.52,16263600
56.400002,56.400002,55.57,55.810001,55.810001,18917000
56.049999,56.93,54.900002,54.970001,54.970001,25251800
54.41,54.810001,53.970001,54.639999,54.639999,27007700
54.919998,55.560001,54.27,55.240002,55.240002,19867000
55.18,56.279999,55.009998,56.23,56.23,18497200
56.060001,56.540001,55.68,55.959999,55.959999,36691000
54.580002,54.709999,52.32,53,53,67715400
52.810001,54.540001,52.759998,54.310001,54.310001,32782400
53.119999,53.200001,52.310001,53.18,53.18,39846400
